,density (kg m^-3),zenith (deg),algae (ppb),BBA,lyr1_abs,lyr2_abs,lyr3_abs,lyr4_abs,lyr5_abs,lyr6_abs,lyr7_abs,lyr8_abs,lyr9_abs,lyr10_abs,lyr11_abs
0,300,30,0,0.702717736221449,84.17163714005596,137.0129562608408,29.743354193473216,14.05765162216691,8.314351207255378,5.571317721728343,8.730948136985635,4.916589811611638,5.537164926120827,3.8859847546219766,1.6788213997975903
1,300,30,1000,0.6950788357590211,85.4749408114468,138.53626071096897,31.130230489472346,15.309446995532864,9.448342314610544,6.602749152376057,9.525498384715167,5.539795701479642,5.82945810699214,3.9200496784787076,1.6271776089471977
2,300,30,5000,0.6707191236696913,90.39350182665251,144.1110581716418,35.84740726287009,19.274158345466,12.811128714758274,9.492155071608726,11.529213079029752,6.941478883752378,6.2648222745802,3.7457433529155577,1.3925450672875268
3,300,30,10000,0.6480733908109179,96.08127853057515,150.30148261184434,40.5683747141024,22.827506389690285,15.50581267230109,11.57509757962465,12.676065296401397,7.518783651768565,6.114611954551818,3.309836845724469,1.1231753190238836
4,300,30,15000,0.6300386423903058,101.40837847490043,155.9115286425102,44.47917233736501,25.48264724194429,17.29783672238997,12.797651533044247,13.137924103551331,7.575153286790427,5.736575662984554,2.8712837669827236,0.9075352452950296
5,300,40,0,0.7087889948894238,76.86574665838631,114.2431154309978,24.875684809829636,11.82087025299556,7.006783001817088,4.700555376147571,7.371549993866856,4.150763717957059,4.670975624446005,3.2741414438333845,1.4132252127308866
6,300,40,1000,0.7013860648562767,78.02511867705988,115.53145463769965,26.03919583299318,12.870948919486953,7.957962988673864,5.565645184351008,8.037421862132257,4.672952826033723,4.915272578362393,3.302006260536461,1.3696141997041802
7,300,40,5000,0.6777212267881461,82.4124121646372,120.247365550956,29.995208828832688,16.19597112020133,10.778244307552368,7.988939037289646,9.716193004764731,5.847126417165522,5.2777659535391335,3.1535571285737833,1.1718305804216052
8,300,40,10000,0.65564272112248,87.5036291019725,125.48383077904349,33.95052697082279,19.1733325853386,13.036356173411056,9.734543096552779,10.675432640382787,6.329458507649022,5.149009769505525,2.7857594215203534,0.9449648911733577
9,300,40,15000,0.6380062741738712,92.28528829625837,130.22758724421058,37.222727952534825,21.394982078880332,14.535776530218717,10.757357527237671,11.059697413779682,6.374680519573892,4.829503309625866,2.4161946861173353,0.7634062961174375
10,300,45,0,0.7123893024048696,72.27658460863822,101.41084832662416,22.19333791592914,10.576141826848922,6.27625215446732,4.213024113649403,6.609136199672888,3.7207919372178058,4.184455840179529,2.9304469196313145,1.264039970385648
11,300,45,1000,0.7051285744878245,73.35001278752867,102.5653082415656,23.2315418801764,11.513066355529986,7.124884220762218,4.984805439259387,7.202853243853404,4.186338431837436,4.40187109639004,2.954870609248359,1.2249519162728166
12,300,45,5000,0.6818819210550215,77.41874136314716,106.79144048279825,26.760775485712244,14.479433876151653,9.640991158426456,7.146752268504923,8.69952940958473,5.233025308153614,4.723663922903805,2.821066391973434,1.047900686445722
13,300,45,10000,0.6601441578715003,82.1501997483345,111.48344873318062,30.2872981413534,17.13424670515871,11.654629797431337,8.70345936824589,9.553860989675753,5.662308547806052,4.607160075398432,2.4916218789165936,0.8449367868188846
14,300,45,15000,0.642746622901193,86.60135485204928,115.73256666120086,33.20236928508173,19.113533572515465,12.990499783084553,9.614672286608672,9.89497600049062,5.701513735011164,4.320675716935155,2.160868266405802,0.6825369232188248
15,300,50,0,0.7163157162418657,67.0055692109064,87.9693998768891,19.417548895252082,9.278944792041635,5.5127517952934415,3.7026865228890746,5.81004394369073,3.2697806752026644,3.673997500856203,2.569836439133519,1.1075284815808693
16,300,50,1000,0.7092134673491065,67.98415957388465,88.98201285156748,20.324463298184835,10.097316582439236,6.253944843421716,4.376710216796654,6.328191241466362,3.6760057136107225,3.8632895457185956,2.590690104948941,1.073194992248373
17,300,50,5000,0.6864322524152139,71.70018354254063,92.68894154736033,23.406727977568746,12.688058174876302,8.45147569807591,6.264930725717428,7.63423792375763,4.5892372704878355,4.142598236304692,2.472357822688789,0.9179222594714501
18,300,50,10000,0.6650730368591486,76.03153846860988,96.80349485014328,26.48458474566436,15.005375095571795,10.209309457017863,7.6239867988516234,8.378926967375605,4.963123636232813,4.039119944540555,2.1832293795390734,0.7400552006730975
19,300,50,15000,0.6479405127815696,80.11374704644643,100.52789938343463,29.026406511739825,16.731390423783367,11.374296642051803,8.418625525443073,8.675141900090123,4.996218798770775,3.787398688898248,1.8932410473686003,0.59776666893892
20,300,60,0,0.7248492462458929,54.21784493243087,60.52889327189838,13.793214587243135,6.622900732834669,3.9425885798210083,2.6505368325428122,4.15924260183823,2.3369566363474634,2.6179459646301693,1.8239662418087994,0.783927593950999
21,300,60,1000,0.7181159697601281,54.98127801907415,61.24428245791166,14.429542475096962,7.196949707247883,4.462373010677156,3.123111812105105,4.521780209883358,2.6210428439923272,2.749470883134108,1.8376233142512435,0.75946253424508
22,300,60,5000,0.6964156111477502,57.89246959066748,63.862562989538205,16.591228002302575,9.014000598522337,6.003681743042153,4.447470130128409,5.435527457208299,3.2596638715627146,2.941880888032639,1.7517245050213632,0.6493176853892202
23,300,60,10000,0.6759322629431703,61.30372080953744,66.76578474101821,18.746476170856546,10.637240509198861,7.235395373207732,5.3999923562419525,5.955193045992042,3.520015176550857,2.8659857387098215,1.546236335003346,0.5234079169672677
24,300,60,15000,0.659411051884516,64.53199710547541,69.38958550946784,20.52232973502308,11.843537137014856,8.049792054731887,5.955543844657254,6.159957252380942,3.5412030947176434,2.686560226029155,1.3406941533989765,0.42273710095553174
25,400,30,0,0.6715203180777961,93.50610692567133,143.59954751788376,33.574659598373486,16.069567598479267,9.609540104859008,6.4729056871982245,10.23736816506462,5.741021346519556,6.388291718184984,4.262249720152947,1.7872974519957183
26,400,30,1000,0.6622339450503766,95.21275025989213,145.5586887736665,35.3473445509408,17.653677399037573,11.029737200461936,7.7514621893987385,11.202766079709955,6.4773626945633005,6.710389593841397,4.288480140137072,1.73205022204093
27,400,30,5000,0.6328392111055993,101.56459085517558,152.63427389842772,41.28132426438558,22.577009597606438,15.152462627742644,11.252142498187533,13.56887082658662,8.086415302223521,7.153755832560898,4.074393678544705,1.4859983098796063
28,400,30,10000,0.6058709078150292,108.77407953286571,160.3508059886585,47.08240484151546,26.857171331736247,18.332583188352874,13.66345762163818,14.824775976372466,8.678134061607462,6.918585839026561,3.5864946198601806,1.2050376129031224
29,400,30,15000,0.5846702795258598,115.42345540451457,167.24023771033472,51.79009398517731,29.963163826523616,20.361119750177902,14.998479312604863,15.248514698506721,8.659963461758954,6.436643807687952,3.102450507584235,0.9794044397613877
30,400,40,0,0.6780918793622172,85.02080248465623,120.26196265321033,27.992619548541967,13.492019676611735,8.091464881154051,5.45836239152872,8.64041634587608,4.845608218938385,5.388314851621651,3.5914603186800713,1.5049092818817829
31,400,40,1000,0.6690797098421825,86.5402877490261,121.92445268892317,29.479654879562414,14.820680529348895,9.282547167068543,6.53057637510748,9.449227126770278,5.462410925846906,5.657253759300761,3.612519717147105,1.458176431606353
32,400,40,5000,0.6404783953833586,92.21244563057479,127.93279082477422,34.454331643720806,18.947938337382787,12.73869420790899,9.465256485362847,11.430139766277124,6.809194586792308,6.025063229402152,3.4298625774462894,1.2504902553181507
33,400,40,10000,0.6141372931258525,98.67094340382339,134.49249404787827,39.310191067390726,22.530606996512063,15.40063132649802,11.483624437185542,12.478176205325603,7.301845295999554,5.82355099830668,3.017680338895397,1.0136381699485408
34,400,40,15000,0.59336428987485,104.62988374726974,140.36261198742582,43.242947477754015,25.1246851523349,17.094290723430873,12.597668453639278,12.827804952283374,7.282941834387357,5.4157441881709465,2.609449118376331,0.8235408310871152
35,400,45,0,0.6819760491748327,79.80902148389195,106.98717088254936,24.932610635959776,12.061789527082706,7.24469283828906,4.890895603939303,7.745298911292071,4.343054961014347,4.826782454268828,3.2146977990869017,1.346299322616699
36,400,45,1000,0.6731285039809728,81.21992743494165,108.47719647032329,26.259397703735758,13.247179105979088,8.307274977809401,5.847382318396175,8.466330900022761,4.892849069594583,5.065971539367321,3.232912180079879,1.3043674271197763
37,400,45,5000,0.64500158051676,86.49996405301701,113.86067774086757,30.696337784461907,16.92831057389587,11.389861004568418,8.464863721621722,10.23154462415181,6.09278529067164,5.391696043656277,3.0680952776767705,1.1182896878733797
38,400,45,10000,0.6190312974683687,92.5355853244488,119.73072084366676,35.02324642628896,20.120819568397437,13.761970936538718,10.263480193846208,11.163604208589936,6.530280166193963,5.209416953331028,2.6985971666511173,0.9062588963561843
39,400,45,15000,0.5985038975334738,98.13367757769639,124.96678531320069,38.52323923813275,22.429241180789397,15.268870772180922,11.254385488897906,11.472325423610146,6.511369414563922,4.843486586320912,2.333044218901254,0.7361463245873359
40,400,50,0,0.686224615558371,73.79243056090385,93.0852789074965,21.778437275521355,10.574210380358705,6.360682723860931,4.29728559464784,6.807500650025704,3.8160438211821788,4.237712350831455,2.819419602321223,1.1799015021441088
41,400,50,1000,0.6775608324513093,75.08109958926156,94.39386717123438,22.937337485260073,11.60951246334049,7.288653064582623,5.132542335116644,7.436620332228676,4.295676335340361,4.445797504995893,2.8347048164987796,1.143022266251023
42,400,50,5000,0.6499634234459817,79.9147891297462,99.12188469931634,26.811263117024755,14.823575678907849,9.980135398811102,7.417924976490323,8.976155564604435,5.341986010379572,4.727691114424262,2.6887674869211775,0.9796628355766689
43,400,50,10000,0.6244083421440288,85.45648420923828,104.27550072535061,30.58510730086036,17.608195604510378,12.049265879087306,8.98683659180793,9.787216153355603,5.7220325401369765,4.565865469576183,2.364177419642504,0.7937093213619983
44,400,50,15000,0.6041600170262827,90.60834435268737,108.86954895040081,33.63336474719304,19.618553814671937,13.361375383898903,9.849385000914511,10.053622908846085,5.703446065311548,4.244060282037166,2.0434752850389395,0.6445826899404011
45,400,60,0,0.695468802092082,59.34219324368477,64.53938253304531,15.424916070128456,7.5368765669704345,4.545510131769786,3.074611091795844,4.871261766199753,2.7264239643257127,3.0192919248132344,2.001888240058477,0.8358318270890535
46,400,60,1000,0.6872317435296855,60.35303638395333,65.46599414558287,16.237866988955464,8.262930477529165,5.1961319143943605,3.660100939851318,5.3111937341983495,3.0616555109741475,3.163562364040774,2.0113612619191463,0.8094623013773198
47,400,60,5000,0.6608596154621672,64.16479680732243,68.81269595491078,18.952857604896938,10.515534430307698,7.0824908682457535,5.261805782675119,6.386762637606128,3.7921901170295733,3.3561742538614436,1.9051116316661136,0.6932543843265304
48,400,60,10000,0.6362599836038738,68.56430610841994,72.45533587369623,21.590930475683848,12.46253609428443,8.529458512351567,6.3590582200951165,6.9502479575387595,4.055029751547826,3.2376675553205967,1.67383646820135,0.5613470582485623
49,400,60,15000,0.6166505129590878,72.67560543444124,75.69528399375807,23.71425519706582,13.86284819084424,9.443131520889255,6.959297718438281,7.131377683239849,4.03829419905189,3.007775927935821,1.4461344277809884,0.45567862097178224
50,500,30,0,0.6350200514885069,100.442484726311,148.9447492642702,37.835515378715954,18.475992584014865,11.147602774379076,7.52536892116938,11.97621351296625,6.554537340106688,6.872474624677213,3.80518109944457,1.3525982444005449
51,500,30,1000,0.6249483302455988,102.52505917954639,151.28023715891743,39.93919187831808,20.332921200889285,12.78854032246282,8.978162824629122,13.055980431620554,7.332681810974503,7.194226563833197,3.8425663713154847,1.3323711604547068
52,500,30,5000,0.5923471806041298,110.19384166061545,159.66607009612034,46.98987058715778,26.154017659229634,17.632299355107776,13.05705048609086,15.820884462120995,9.161242348255586,7.748177738713466,3.7635884597168405,1.2183804856007385
53,500,30,10000,0.5620176617833127,118.74360361009622,168.6925375069619,53.82738579702803,31.20555321826499,21.39611642010718,15.921594185222009,17.376561969057274,9.95291880729472,7.659644511068279,3.4591085958639596,1.0607750250441386
54,500,30,15000,0.5382118685475911,126.50298561888874,176.64676892704182,59.30904356419843,34.830861210873955,23.77961260846157,17.509832627450365,17.94133771669462,10.034989733930717,7.2672368675870445,3.112295883381009,0.9174722115620132
55,500,40,0,0.6422449857229885,91.11517878911529,125.43505026933516,31.40836592948541,15.470270490801193,9.371030023643932,6.33906983568827,10.10189759513473,5.531055187334189,5.797534342509563,3.208158833727075,1.1398877631659547
56,500,40,1000,0.6324461508374637,92.97726545609329,127.42208096374452,33.1730369882421,17.02749361858673,10.747014688939535,7.557208526862666,11.006247427524578,6.182670828305083,6.065964224504284,3.238585540391399,1.1225738514660628
57,500,40,5000,0.6006494752653271,99.86142133679782,134.55987964166283,39.08192837168105,21.904718971420262,14.805347831179994,10.974653572492935,13.319158154964335,7.711882875535869,6.5252842860968725,3.169086054058113,1.0257691118370718
58,500,40,10000,0.5709550446705062,107.57800544210556,142.24401821186632,44.79992455823776,26.1277015927746,17.951601858944105,13.36894646264064,14.614758187700577,8.369794916822554,6.445176408806825,2.91044673323277,0.8924393586987017
59,500,40,15000,0.5475680061063657,114.61215525801622,149.01244924075525,49.371420833502896,29.148790618438223,19.936665083776216,14.690587866767748,15.078771188087048,8.43267927463597,6.111119712546862,2.617043644974494,0.7714071464508976
60,500,45,0,0.646536364438286,85.32258662545988,112.03746161839163,27.905757923735283,13.810752814720779,8.383150929250295,5.676900713281069,9.052671235094545,4.957081783200409,5.194213073088138,2.872929569912393,1.0204318210823993
61,500,45,1000,0.6369020072895627,87.05256542910459,113.82383481430371,29.48016619534016,15.199922190135872,9.610572415689969,6.763465593065993,9.858725529866655,5.5377993216852595,5.432828233053133,2.8995141671503117,1.0047753083458657
62,500,45,5000,0.6055894256804104,93.46369073416697,120.24173994241082,34.748913621703956,19.54851945303785,13.229025195183299,9.810468150247159,11.918754810953551,6.899557516767023,5.839495301081797,2.8355703144613993,0.917695027803624
63,500,45,10000,0.5762761759811883,100.67339099341079,127.15000111100332,39.84062687506346,23.30866797242069,16.030377651549585,11.942184933303576,13.069546687523834,7.483135418929679,5.7646357081801085,2.6028958640624675,0.7980633329148756
64,500,45,15000,0.5531398349406561,107.26275484923266,133.23212085405356,43.90433152569938,25.99338250944927,17.79382046610548,13.11569696500052,13.47816181408082,7.535928601127906,5.463747338413687,2.3396405158640055,0.6895799362188437
65,500,50,0,0.6512241271845538,78.7357734271879,97.87772037640947,24.31377352121406,12.09066860649955,7.354047672809584,4.985223741771764,7.954415905629663,4.355508613562849,4.561524529772957,2.5212846542512706,0.8951151426155993
66,500,50,1000,0.6417728565754376,80.3195799289259,99.44981440719573,25.68883164923232,13.303821267004457,8.4258689769619,5.933984060427152,8.65757664809986,4.862014909579599,4.76898906109929,2.543899037185879,0.8812159921566756
67,500,50,5000,0.6109981721837315,86.20474553679122,105.09808305521638,30.28744098212859,17.099241208684074,11.584012104358225,8.593338681869065,10.4532051949855,6.048713711082856,5.120860438129043,2.4859853653712873,0.804398719091541
68,500,50,10000,0.5821072089137649,92.84680422510952,111.1757769789078,34.724720295485014,20.376041394570905,14.025220453509613,10.450912821389865,11.453157547681423,6.554979186022557,5.051939470503092,2.2807322689001626,0.6991901315034731
69,500,50,15000,0.5592477499490409,98.93492200212938,116.5226662258959,38.25899752180463,22.710412032528794,15.557981676446923,11.470364092738212,11.804646727282098,6.5977466660340145,4.7861705680362325,2.049227111666841,0.6039046867802886
70,500,60,0,0.6614601961745226,63.05237529977011,68.50843032465748,17.140283473196728,8.596162391285475,5.24754307523868,3.563554805261167,5.689906947819248,3.112708949373938,3.253447197218942,1.7940489150288632,0.6359375554220185
71,500,60,1000,0.6524325838376938,64.30301947920992,69.62598342352524,18.104618210019606,9.446747422455317,5.998865318187388,4.228481497410657,6.181378471419573,3.4665550523794133,3.397072943486511,1.8087112655067084,0.6257469671442932
72,500,60,5000,0.6228972770083154,68.97910297374551,73.63924321219777,21.32460997753878,12.104361955963217,8.210195027884883,6.090470864719803,7.434054130946987,4.293855404632643,3.6374454657481183,1.7640650922405632,0.5703850670956467
73,500,60,10000,0.5949721726114394,74.3000522030123,77.94989870861039,24.419927955876027,14.390366619814245,9.913259294384348,7.38626640912574,8.126200686148149,4.642771278805885,3.582413322516981,1.6161828131402247,0.4951921048021798
74,500,60,15000,0.5727410972919526,79.20894616822487,81.73176256664276,26.872948022468908,16.009896147964543,10.975782336152205,8.092073109646877,8.363169051947642,4.666803143000663,3.3904107229568856,1.4507654290084546,0.4273153788688431
75,600,30,0,0.5859309402822287,105.55274356694142,152.1081371230611,42.64948747246505,21.42341447129611,13.026802820185107,8.76635485640285,13.914810357319508,7.249124060709001,7.15404378103804,4.574974973163897,3.3681626855592035
76,600,30,1000,0.5760049353624351,107.94275196970317,154.70323339506993,44.9789842122043,23.446336439084,14.77821652702462,10.278908465848998,15.021016231238407,7.983967555878091,7.460444845854384,4.654477762824701,3.3818910105281406
77,600,30,5000,0.5427794963711997,116.68756396133571,164.0352366247371,52.91218257696257,29.98402324696291,20.18566648246279,14.780086509843553,18.11279956387093,9.93046701422857,8.150772165724403,4.747928584407111,3.3216951442232667
78,600,30,10000,0.5109050847787837,126.29181451111788,174.02219880218937,60.68911383054163,35.833323322327324,24.622872553077208,18.20676082260079,20.150513709957238,11.04535618073891,8.339747940456116,4.602645536839912,3.1228564483476506
79,600,30,15000,0.4856253080605805,134.8707590595875,182.73896252990625,66.92794929633286,40.09577145646387,27.544056070558803,20.250238572378702,21.105887433118152,11.421983014157362,8.188569525052499,4.346860862133019,2.884198676387307
80,600,40,0,0.594208449757679,95.52947181440366,129.18520452603286,35.21299291313879,17.847627995128462,10.912778424918114,7.366756821593555,11.720114852440851,6.112933299186454,6.033955781520808,3.8579545271232396,2.839754003613403
81,600,40,1000,0.5845130620330996,97.67559228253113,131.4070171329476,37.16806060852306,19.54367293794752,12.381023680307926,8.634686969742791,12.64626110914668,6.72806528184519,6.289476652641767,3.9235257894812565,2.850392584878143
82,600,40,5000,0.5519895978075773,105.5619983706899,139.40184174974368,43.81757208155531,25.01743353113888,16.908138283800398,12.402969289981884,15.230235587904168,8.354444025386961,6.862371949666422,3.9976555192659506,2.7966593727830977
83,600,40,10000,0.5206804675580026,114.27814424013816,147.96204544063212,50.31813467290893,29.899681013798254,20.611028745361324,15.262159587942467,16.924627718122686,9.280287990258643,7.013423085425781,3.8711181521004816,2.6264654123247175
84,600,40,15000,0.4957679806478,122.10594282330118,155.43247505888525,55.51473326867742,33.44248266441126,23.03713780510264,16.957930087792192,17.71019761217885,9.586857190816739,6.879973760430185,3.652708316487148,2.4235615100222208
85,600,45,0,0.5991305689929854,89.33561284221156,115.97438499203255,31.174940605932747,15.890169697662055,9.744783935501506,6.589078924177274,10.49521075991238,5.477003280885362,5.406190277957407,3.4557415255062645,2.5432432838020573
86,600,45,1000,0.5895745596349802,91.33498533321698,117.97896504388092,32.919368206374365,17.402960708434794,11.054315749904061,7.719902495949174,11.320520047842372,6.025097522539101,5.633288153624625,3.513583074165415,2.5522150451520784
87,600,45,5000,0.557474722568224,98.70135746441959,125.19380374495748,38.847560507009035,22.28126047292758,15.088860028496496,11.07812286242369,13.620719815268304,7.472613498370678,6.140877820769814,3.5772336348321088,2.5023704761009085
88,600,45,10000,0.5265058864846104,106.87359151777109,132.91910685464805,44.632662082067945,26.624159764572305,18.382439262015822,13.621070997930001,15.124328006735903,8.293530225528338,6.271405079780175,3.4616313129509484,2.3485340526228105
89,600,45,15000,0.5018139315692307,114.23655343806851,139.6584577241988,49.24682366035341,29.767387219176147,20.534031769227674,15.124239080864154,15.816566751262167,8.56192157426618,6.148577464767857,3.264534366763577,2.1659152356941855
90,600,50,0,0.6045158256794693,82.32365136036343,101.88293867630838,27.05426050820969,13.873992564252148,8.533437048052283,5.779304203963243,9.215758520614402,4.8114215891423475,4.748525939140708,3.034118025552643,2.232352309079565
91,600,50,1000,0.8620992788330082,1.8973217573372239,2.1003715484942522,1.8392620126970332,1.6236938821042894,1.4307692262700142,1.2564559803618676,1.1580861944847127,0.8093212944854313,0.5774825245369771,0.36610295259974684,0.26098611277174316
92,600,50,5000,0.5634862697638366,90.94590508004273,110.02753899771581,33.75015394125085,19.450475348418166,13.19625840802919,9.696000619777985,11.939320716477539,6.550070882153189,5.385588583058893,3.1369108007787934,2.1940901004515103
93,600,50,10000,0.5328946018857851,98.5057373599351,116.85072870894278,38.78723897590122,23.23088126974911,16.06306939204394,11.90927024588504,13.244487161556847,7.261949892275679,5.495228752523,3.0331167128280123,2.0576366355120594
94,600,50,15000,0.5084461991801481,105.34110208363265,122.79894277843866,42.79410425962166,25.958856225065137,17.92959859975863,13.212587676618455,13.840480917152856,7.491240373736849,5.384084117631959,2.858640243580609,1.896464792424427
95,600,60,0,0.6163399464812377,65.75439044506874,72.18760002185824,18.917048136998574,9.8161468933962,6.069781159674571,4.122560309931871,6.5858185809424254,3.4391976404517544,3.390740938089571,2.1629366458802037,1.5897861232774861
96,600,60,1000,0.6072970925837258,67.21758970297799,73.45556725830903,19.9850780097943,10.74196742209146,6.871005513739175,4.814290759776134,7.088699008487878,3.7729650972375324,3.5273961785294747,2.196506483611846,1.5938167492357345
97,600,60,5000,0.5767488640298291,72.66101223672567,78.0173620821882,23.60253810723794,13.718161901384228,9.332269924171465,6.862783160310846,8.484578949017974,4.650655837064414,3.82875783929783,2.2286426457559743,1.5580006881402633
98,600,60,10000,0.5470146664329689,78.78369959235258,82.89157164444123,27.1070117663445,16.348229861718213,11.326509547586912,8.402132596623954,9.385737984464471,5.1408977906046,3.8975726875253223,2.1504962089427804,1.4583037849092675
99,600,60,15000,0.5231141507105607,84.36374167806413,87.12784642843262,29.875931787802532,18.232112803719716,12.614199702511929,9.300124788702538,9.788676482321897,5.292700632437166,3.8125000058133494,2.0237235057995355,1.3420724757173985
100,700,30,0,0.5109494582987224,109.29781168100817,151.1733301107133,47.70954567771712,24.990200732754822,15.306788654408354,10.204519443822186,16.113721343541552,8.79926086809848,11.252223174439033,10.767621392831042,7.48642332321205
101,700,30,1000,0.5017701111875803,111.86020372345541,153.83200455401746,50.110863181028236,27.053143436948332,17.063721824518314,11.694668352674357,17.217794789637747,9.572230283175855,11.731272322237922,11.051581710834911,7.609289017427147
102,700,30,5000,0.47032706911963756,121.19408801419092,163.43505363294614,58.46154101545165,33.96425643858453,22.76004096002041,16.397494209500092,20.55749195164145,11.827923936914292,13.029983205807412,11.740944276839976,7.846910504984245
103,700,30,10000,0.43942007522794346,131.32610674944848,173.71861012536525,66.85094829346909,40.46142438076006,27.795280956504087,20.338914556363402,23.114987742552376,13.41877537003231,13.770359552104932,11.981089428116523,7.801483004233986
104,700,30,15000,0.4146343545667658,140.25355271922288,182.65997547341757,73.68991923036675,45.391743458787936,31.35184561805272,22.942926799366617,24.600182905160146,14.224358762884936,13.973132169467373,11.861682693323147,7.570388300743859
105,700,40,0,0.5210670229657218,98.73050376148814,130.07328978056034,39.24833914787049,20.62600550891743,12.713991816234666,8.51810051593683,13.51035718685191,7.398783037731332,9.47342012686158,9.070672228828592,6.3076231450303615
106,700,40,1000,0.512045818691514,101.04883161261897,132.37743285308045,41.27055479899459,22.355928021825317,14.186209419677066,9.766545735165343,14.43403144641699,8.045361187084247,9.872784893318302,9.306210140740644,6.408632813002672
107,700,40,5000,0.48108425875838934,109.53299820020182,140.70899573430532,48.29248503663619,28.139930180802352,18.949564119722545,13.698381910210422,17.22098694986188,9.927285523407338,10.950714783387076,9.873146590653313,6.599616339790777
108,700,40,10000,0.4505524681617139,118.80866269176032,149.64220301135063,55.325047031419516,33.55494597665437,23.141236794139648,16.978273791022715,19.342135771303425,11.24552121299085,11.556176186167079,10.060421116993126,6.551632549275608
109,700,40,15000,0.4259905428489194,127.03424832530462,157.41384192696387,61.03526802134467,37.64207108257703,26.083880830247246,19.13065286133631,20.561273493619666,11.904155590704654,11.71121069874443,9.947304415755886,6.349110454511773
110,700,45,0,0.527087365734517,92.23195316095564,117.70155650403628,34.61442429330519,18.261866895690687,11.301598458849835,7.592463343817522,12.069930318436972,6.619412622389908,8.480524385151273,8.121718078297429,5.647656751873452
111,700,45,1000,0.5181631287135537,94.40196828244844,119.79540877726409,36.42107361289938,19.80468996709775,12.614268424706095,8.705539866776576,12.892697438550135,7.195298097978292,8.83543912114891,8.330348037438219,5.736598676223909
112,700,45,5000,0.4874967114067555,102.36577580585644,127.3702126931338,42.68798095427931,24.95680315807243,16.856141611716307,12.206724965477111,15.371441342475116,8.868845869883314,9.790800302042218,8.829793348593794,5.902260226246659
113,700,45,10000,0.45719493602695055,111.11002309587155,135.4956145129988,48.950876595785374,29.7677455161146,20.578766382280104,15.119190420966918,17.251007735852337,10.03628918680319,10.322433113437786,8.988987181862646,5.85389376854202
114,700,45,15000,0.4327703827875333,118.8940846977132,142.56448791874226,54.02236962162589,33.38669311398237,23.18234298784853,17.022631291123723,18.324447567512575,10.614761379150858,10.452517178956072,8.880874867428659,5.668341141224034
115,700,50,0,0.5336846161769887,84.9025897352706,104.31382758779806,29.87483576884987,15.851395331250032,9.852154285603623,6.636790462313992,10.57428799141391,5.806944827559995,7.443308230059647,7.1291378530816365,4.956795600696278
116,700,50,1000,0.5248692453311087,86.90674005016741,106.17778375455369,31.453905928301587,17.19816964530419,10.997846001411368,7.6082226934679005,11.291567809279604,6.308932369635675,7.751856311659972,7.309785867276408,5.033252969780768
117,700,50,5000,0.49453376360410767,94.28504314529197,112.92324252375279,36.92441246649421,21.689338354191875,14.695016994529984,10.659692644917492,13.448864439491388,7.765183147263048,8.579827590115723,7.739478602021768,5.173068014693299
118,700,50,10000,0.4644893207402528,102.42512782595547,120.16016461311482,42.377017351001086,25.870686196870675,17.929694560185663,13.190107001541362,15.077828468480593,8.776310657953575,9.035577848380646,7.870513141199701,5.125146812745738
119,700,50,15000,0.440218073194291,109.70193692064153,126.45381612110798,46.777762021839855,29.003838380628327,20.18239566581634,14.836212577107606,16.001397932723975,9.27256822269354,9.14096297321082,7.76881754205075,4.958127138389913
120,700,60,0,0.5482576922409977,67.7159324588989,75.34353580601004,20.573522362464132,11.088837605870426,6.950324320646312,4.705282458045638,7.526283854520877,4.141663887459307,5.310919920623273,5.08474666633491,3.5322373656083914
121,700,60,1000,0.7886655405197217,1.6689445383898358,1.6010574229128058,1.3274639647192368,1.1473617874354383,0.9900238803349921,0.8513988378270909,0.7806096901549286,0.5679004275036958,0.5142558713663437,0.4410789342950345,0.2973454028607421
122,700,60,5000,0.5101201994682552,75.34099178200765,81.6088993277005,25.501610518434383,15.166886392732854,10.33301864464661,7.515015009343813,9.526772701952057,5.503823842226236,6.093662258848708,5.497833940660886,3.6725494136399046
123,700,60,10000,0.48066163125667066,82.03928806619061,86.86815453508736,29.283662544856714,18.064310096963094,12.574012068270484,9.26769341651932,10.64764118406453,6.19837755887284,6.398049789911074,5.5752245857552545,3.628529133579328
124,700,60,15000,0.45673435639931764,88.08396092824636,91.42958226019559,32.309230512087,20.214549796576343,14.11847006237914,10.395002868332638,11.27160454205942,6.531099388017686,6.457436191648502,5.4908108850302435,3.5023460933117603
